
       XFOIL         Version 6.99

 Calculated polar for: NACA 0018

 1 1 Reynolds number fixed          Mach number fixed

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000

   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.2284   0.00604   0.00129  -0.0003   0.3012   0.5027
   3.000   0.3414   0.00624   0.00147  -0.0003   0.2536   0.5594
   4.000   0.4541   0.00649   0.00172  -0.0003   0.2117   0.6177
   5.000   0.5651   0.00686   0.00207   0.0001   0.1706   0.6779
   6.000   0.6755   0.00727   0.00248   0.0005   0.1388   0.7388
   7.000   0.7839   0.00779   0.00300   0.0012   0.1106   0.7984
   8.000   0.8910   0.00836   0.00359   0.0021   0.0902   0.8539
   9.000   0.9956   0.00903   0.00429   0.0035   0.0742   0.9018
  10.000   1.0965   0.00980   0.00507   0.0054   0.0620   0.9403
  11.000   1.1909   0.01071   0.00597   0.0085   0.0521   0.9711
  13.000   1.3950   0.01306   0.00824   0.0099   0.0398   0.9993
  14.000   1.4569   0.01438   0.00957   0.0178   0.0360   1.0000
  15.000   1.5255   0.01621   0.01143   0.0231   0.0326   1.0000
  16.000   1.5879   0.01870   0.01396   0.0278   0.0297   1.0000
  17.000   1.6407   0.02217   0.01749   0.0320   0.0270   1.0000
  18.000   1.6878   0.02655   0.02198   0.0351   0.0256   1.0000
  19.000   1.7152   0.03314   0.02869   0.0371   0.0236   1.0000
  20.000   1.7343   0.04134   0.03707   0.0374   0.0227   1.0000
  21.000   1.7277   0.05295   0.04889   0.0358   0.0215   1.0000
  22.000   1.6918   0.06877   0.06498   0.0317   0.0203   1.0000
  23.000   1.6442   0.08681   0.08332   0.0255   0.0199   1.0000
  24.000   1.5701   0.10927   0.10613   0.0161   0.0194   1.0000
  25.000   1.4937   0.13319   0.13037   0.0038   0.0187   1.0000
